Id,Level,Name,Desc,EffectID,ShaderID,MaterialId,Intensity,IsStackable,IsCountable,MaxStackNum,IsMaxStackOnCreate,MaxStackNewBuffID,RemoveOnCast,ActiveBegionAttribOnCast,Count,Interval,DotType,TriggerHP,Exclude,SrcExclude,FunctionExclude,DescType,DescMSec,DescEffect,DescMinTick,DescMaxCount,IsSave,DeleteOnDeath,DeleteOnSafe,DeleteOnBattleEnd,DeleteOnLeaveScene,DeleteOnNoFighting,DeleteOnSpecialState,DeleteOnSpecialRun,IsOffLineClock,FindTargetsRelasion,FindTargetsCountMax,FindTargetsRadius,FindTargetsCharacterType,DispelType,NeedAttrPointPercent,NeedAttrPointID,BeginAttrib1,BeginValue1A,BeginValue1B,BeginAttrib2,BeginValue2A,BeginValue2B,BeginAttrib3,BeginValue3A,BeginValue3B,BeginAttrib4,BeginValue4A,BeginValue4B,BeginAttrib5,BeginValue5A,BeginValue5B,BeginAttrib6,BeginValue6A,BeginValue6B,ActiveAttrib1,ActiveValue1A,ActiveValue1B,ActiveAttrib2,ActiveValue2A,ActiveValue2B,ActiveAttrib3,ActiveValue3A,ActiveValue3B,EndTimeAttrib1,EndTimeValue1A,EndTimeValue1B,EndTimeAttrib2,EndTimeValue2A,EndTimeValue2B,EndTimeAttrib3,EndTimeValue3A,EndTimeValue3B,BeClearAttrib1,BeClearValue1A,BeClearValue1B,BeClearAttrib2,BeClearValue2A,BeClearValue2B,BeClearAttrib3,BeClearValue3A,BeClearValue3B,BeDispelAttrib1,BeDispelValue1A,BeDispelValue1B,BeShieldAttrib1,BeShieldValue1A,BeShieldValue1B,BeDelAttrib1,BeDelValue1A,BeDelValue1B,IconAtlas,IconName,ShowDesc,ShowType,ShowValue,SyncToSelfClient,SyncToOtherClient,SrcVisible
9,4,眩晕,通用2.3秒眩晕buff,129,0,0,1,1,0,30,0,0,0,0,1,2300,0,0,1,0,0,1,8000,60,500,2,0,1,0,0,1,0,0,0,0,,0,0,0,3|13,0,0,at_sure_state_stun,3000,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Buff,Buff_Xuanyun,[d73e1a]处于眩晕状态[-],1,0,1,1,0
9,5,眩晕,通用2.4秒眩晕buff,129,0,0,1,1,0,30,0,0,0,0,1,2400,0,0,1,0,0,1,8000,60,500,2,0,1,0,0,1,0,0,0,0,,0,0,0,3|13,0,0,at_sure_state_stun,3000,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Buff,Buff_Xuanyun,[d73e1a]处于眩晕状态[-],1,0,1,1,0
9,6,眩晕,通用2.5秒眩晕buff,129,0,0,1,1,0,30,0,0,0,0,1,2500,0,0,1,0,0,1,8000,60,500,2,0,1,0,0,1,0,0,0,0,,0,0,0,3|13,0,0,at_sure_state_stun,3000,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Buff,Buff_Xuanyun,[d73e1a]处于眩晕状态[-],1,0,1,1,0
9,7,眩晕,通用2.6秒眩晕buff,129,0,0,1,1,0,30,0,0,0,0,1,2600,0,0,1,0,0,1,8000,60,500,2,0,1,0,0,1,0,0,0,0,,0,0,0,3|13,0,0,at_sure_state_stun,3000,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Buff,Buff_Xuanyun,[d73e1a]处于眩晕状态[-],1,0,1,1,0
9,8,眩晕,通用2.7秒眩晕buff,129,0,0,1,1,0,30,0,0,0,0,1,2700,0,0,1,0,0,1,8000,60,500,2,0,1,0,0,1,0,0,0,0,,0,0,0,3|13,0,0,at_sure_state_stun,3000,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Buff,Buff_Xuanyun,[d73e1a]处于眩晕状态[-],1,0,1,1,0
9,9,眩晕,通用2.8秒眩晕buff,129,0,0,1,1,0,30,0,0,0,0,1,2800,0,0,1,0,0,1,8000,60,500,2,0,1,0,0,1,0,0,0,0,,0,0,0,3|13,0,0,at_sure_state_stun,3000,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Buff,Buff_Xuanyun,[d73e1a]处于眩晕状态[-],1,0,1,1,0
9,10,眩晕,通用3秒眩晕buff,129,0,0,1,1,0,30,0,0,0,0,1,3000,0,0,1,0,0,1,8000,60,500,2,0,1,0,0,1,0,0,0,0,,0,0,0,3|13,0,0,at_sure_state_stun,3000,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Buff,Buff_Xuanyun,[d73e1a]处于眩晕状态[-],1,0,1,1,0
10,1,眩晕,通用4秒眩晕buff,129,0,0,1,1,0,30,0,0,0,0,1,4000,0,0,1,0,0,1,8000,60,500,2,0,1,0,0,1,0,0,0,0,,0,0,0,3|13,0,0,at_sure_state_stun,4000,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Buff,Buff_Xuanyun,[d73e1a]处于眩晕状态[-],1,0,1,1,0
11,1,定身,通用1秒定身buff,0,0,0,1,1,0,30,0,0,0,0,1,1000,0,0,1,0,0,2,8000,60,500,2,0,1,0,0,1,0,0,0,0,,0,0,0,3|11,0,0,at_sure_state_fixed,1000,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Buff,Buff_Dingshen,[d73e1a]处于定身状态[-],1,0,1,0,0
12,1,定身,通用2秒定身buff,0,0,0,1,1,0,30,0,0,0,0,1,2000,0,0,1,0,0,2,8000,60,500,2,0,1,0,0,1,0,0,0,0,,0,0,0,3|11,0,0,at_sure_state_fixed,2000,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Buff,Buff_Dingshen,[d73e1a]处于定身状态[-],1,0,1,0,0
13,1,定身,通用3秒定身buff,0,0,0,1,1,0,30,0,0,0,0,1,3000,0,0,1,0,0,2,8000,60,500,2,0,1,0,0,1,0,0,0,0,,0,0,0,3|11,0,0,at_sure_state_fixed,3000,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Buff,Buff_Dingshen,[d73e1a]处于定身状态[-],1,0,1,0,0
14,1,定身,通用4秒定身buff,0,0,0,1,1,0,30,0,0,0,0,1,4000,0,0,1,0,0,2,8000,60,500,2,0,1,0,0,1,0,0,0,0,,0,0,0,3|11,0,0,at_sure_state_fixed,4000,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Buff,Buff_Dingshen,[d73e1a]处于定身状态[-],1,0,1,0,0
15,1,浮空,1.5秒浮空，其中倒地到起身的过程占用1.5s，由程序控制，注意配合hitperformance id=10做表现,0,0,0,1,1,0,30,0,0,0,0,1,1500,0,0,1,0,0,3,8000,60,500,2,0,1,0,0,1,0,0,0,0,,0,0,0,3|9,0,0,at_sure_state_float,1500,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Buff,Buff_Jidao,[d73e1a]处于浮空状态[-],1,0,1,0,0
16,1,浮空,2秒浮空，其中倒地到起身的过程占用1.5s，由程序控制，注意配合hitperformance id=11做表现,0,0,0,1,1,0,30,0,0,0,0,1,2000,0,0,1,0,0,3,8000,60,500,2,0,1,0,0,1,0,0,0,0,,0,0,0,3|9,0,0,at_sure_state_float,2000,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Buff,Buff_Jidao,[d73e1a]处于浮空状态[-],1,0,1,0,0
17,1,浮空,3秒浮空，其中倒地到起身的过程占用1.5s，由程序控制，注意配合hitperformance id=12做表现,0,0,0,1,1,0,30,0,0,0,0,1,3000,0,0,1,0,0,3,8000,60,500,2,0,1,0,0,1,0,0,0,0,,0,0,0,3|9,0,0,at_sure_state_float,3000,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Buff,Buff_Jidao,[d73e1a]处于浮空状态[-],1,0,1,0,0
18,1,浮空,4秒浮空，其中倒地到起身的过程占用1.5s，由程序控制，注意配合hitperformance id=13做表现,0,0,0,1,1,0,30,0,0,0,0,1,4000,0,0,1,0,0,3,8000,60,500,2,0,1,0,0,1,0,0,0,0,,0,0,0,3|9,0,0,at_sure_state_float,4000,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Buff,Buff_Jidao,[d73e1a]处于浮空状态[-],1,0,1,0,0
19,1,通用2秒击退,,0,0,0,1,1,0,30,0,0,0,0,1,200,0,0,1,0,0,0,0,0,0,4,0,1,0,0,1,0,0,0,0,,0,0,0,3|18,0,0,at_sure_state_backslide,200,30000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
20,1,倒地,1秒倒地，其中倒地到起身的过程占用1.5s，由程序控制，注意配合hitperformance id=13做表现,0,0,0,1,0,0,30,0,0,0,0,1,1000,0,0,1,0,0,4,8000,60,500,2,0,1,0,0,1,0,0,0,0,,0,0,0,3|14,0,0,at_sure_state_knockdown,1000,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Buff,Buff_Jidao,[d73e1a]处于倒地状态[-],1,0,1,0,0
21,1,倒地,1~2秒倒地，其中倒地到起身的过程占用1.5s，由程序控制，注意配合hitperformance id=13做表现,0,0,0,1,0,0,30,0,0,0,0,1,1000,0,0,1,0,0,4,8000,60,500,2,0,1,0,0,1,0,0,0,0,,0,0,0,3|14,0,0,at_sure_state_knockdown,1000,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Buff,Buff_Jidao,[d73e1a]处于倒地状态[-],1,0,1,0,0
21,2,倒地,1~2秒倒地，其中倒地到起身的过程占用1.5s，由程序控制，注意配合hitperformance id=13做表现,0,0,0,1,0,0,30,0,0,0,0,1,1100,0,0,1,0,0,4,8000,60,500,2,0,1,0,0,1,0,0,0,0,,0,0,0,3|14,0,0,at_sure_state_knockdown,1100,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Buff,Buff_Jidao,[d73e1a]处于倒地状态[-],1,0,1,0,0
21,3,倒地,1~2秒倒地，其中倒地到起身的过程占用1.5s，由程序控制，注意配合hitperformance id=13做表现,0,0,0,1,0,0,30,0,0,0,0,1,1200,0,0,1,0,0,4,8000,60,500,2,0,1,0,0,1,0,0,0,0,,0,0,0,3|14,0,0,at_sure_state_knockdown,1200,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Buff,Buff_Jidao,[d73e1a]处于倒地状态[-],1,0,1,0,0
21,4,倒地,1~2秒倒地，其中倒地到起身的过程占用1.5s，由程序控制，注意配合hitperformance id=13做表现,0,0,0,1,0,0,30,0,0,0,0,1,1300,0,0,1,0,0,4,8000,60,500,2,0,1,0,0,1,0,0,0,0,,0,0,0,3|14,0,0,at_sure_state_knockdown,1300,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Buff,Buff_Jidao,[d73e1a]处于倒地状态[-],1,0,1,0,0
21,5,倒地,1~2秒倒地，其中倒地到起身的过程占用1.5s，由程序控制，注意配合hitperformance id=13做表现,0,0,0,1,0,0,30,0,0,0,0,1,1400,0,0,1,0,0,4,8000,60,500,2,0,1,0,0,1,0,0,0,0,,0,0,0,3|14,0,0,at_sure_state_knockdown,1400,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Buff,Buff_Jidao,[d73e1a]处于倒地状态[-],1,0,1,0,0
21,6,倒地,1~2秒倒地，其中倒地到起身的过程占用1.5s，由程序控制，注意配合hitperformance id=13做表现,0,0,0,1,0,0,30,0,0,0,0,1,1500,0,0,1,0,0,4,8000,60,500,2,0,1,0,0,1,0,0,0,0,,0,0,0,3|14,0,0,at_sure_state_knockdown,1500,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Buff,Buff_Jidao,[d73e1a]处于倒地状态[-],1,0,1,0,0
21,7,倒地,1~2秒倒地，其中倒地到起身的过程占用1.5s，由程序控制，注意配合hitperformance id=13做表现,0,0,0,1,0,0,30,0,0,0,0,1,1600,0,0,1,0,0,4,8000,60,500,2,0,1,0,0,1,0,0,0,0,,0,0,0,3|14,0,0,at_sure_state_knockdown,1600,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Buff,Buff_Jidao,[d73e1a]处于倒地状态[-],1,0,1,0,0
21,8,倒地,1~2秒倒地，其中倒地到起身的过程占用1.5s，由程序控制，注意配合hitperformance id=13做表现,0,0,0,1,0,0,30,0,0,0,0,1,1700,0,0,1,0,0,4,8000,60,500,2,0,1,0,0,1,0,0,0,0,,0,0,0,3|14,0,0,at_sure_state_knockdown,1700,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Buff,Buff_Jidao,[d73e1a]处于倒地状态[-],1,0,1,0,0
21,9,倒地,1~2秒倒地，其中倒地到起身的过程占用1.5s，由程序控制，注意配合hitperformance id=13做表现,0,0,0,1,0,0,30,0,0,0,0,1,1800,0,0,1,0,0,4,8000,60,500,2,0,1,0,0,1,0,0,0,0,,0,0,0,3|14,0,0,at_sure_state_knockdown,1800,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Buff,Buff_Jidao,[d73e1a]处于倒地状态[-],1,0,1,0,0
21,10,倒地,1~2秒倒地，其中倒地到起身的过程占用1.5s，由程序控制，注意配合hitperformance id=13做表现,0,0,0,1,0,0,30,0,0,0,0,1,2000,0,0,1,0,0,4,8000,60,500,2,0,1,0,0,1,0,0,0,0,,0,0,0,3|14,0,0,at_sure_state_knockdown,2000,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Buff,Buff_Jidao,[d73e1a]处于倒地状态[-],1,0,1,0,0
22,1,浮空,易水泡影浮空，其中倒地到起身的过程占用1.5s，由程序控制，注意配合hitperformance id=13做表现,0,0,0,1,0,0,30,0,0,0,0,1,4000,0,0,1,0,0,3,8000,60,500,2,0,1,0,0,1,0,0,0,0,,0,0,0,3|9,0,0,at_sure_state_float,4000,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Buff,Buff_Jidao,[d73e1a]处于浮空状态[-],1,0,1,0,0
23,1,倒地,1~3秒倒地，其中倒地到起身的过程占用1.5s，由程序控制，注意配合hitperformance id=13做表现,0,0,0,1,0,0,30,0,0,0,0,1,1000,0,0,1,0,0,4,8000,60,500,2,0,1,0,0,1,0,0,0,0,,0,0,0,3|14,0,0,at_sure_state_knockdown,1000,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Buff,Buff_Jidao,[d73e1a]处于倒地状态[-],1,0,1,0,0
23,2,倒地,1~3秒倒地，其中倒地到起身的过程占用1.5s，由程序控制，注意配合hitperformance id=13做表现,0,0,0,1,0,0,30,0,0,0,0,1,1100,0,0,1,0,0,4,8000,60,500,2,0,1,0,0,1,0,0,0,0,,0,0,0,3|14,0,0,at_sure_state_knockdown,1100,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Buff,Buff_Jidao,[d73e1a]处于倒地状态[-],1,0,1,0,0
23,3,倒地,1~3秒倒地，其中倒地到起身的过程占用1.5s，由程序控制，注意配合hitperformance id=13做表现,0,0,0,1,0,0,30,0,0,0,0,1,1200,0,0,1,0,0,4,8000,60,500,2,0,1,0,0,1,0,0,0,0,,0,0,0,3|14,0,0,at_sure_state_knockdown,1200,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Buff,Buff_Jidao,[d73e1a]处于倒地状态[-],1,0,1,0,0
23,4,倒地,1~3秒倒地，其中倒地到起身的过程占用1.5s，由程序控制，注意配合hitperformance id=13做表现,0,0,0,1,0,0,30,0,0,0,0,1,1300,0,0,1,0,0,4,8000,60,500,2,0,1,0,0,1,0,0,0,0,,0,0,0,3|14,0,0,at_sure_state_knockdown,1300,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Buff,Buff_Jidao,[d73e1a]处于倒地状态[-],1,0,1,0,0
23,5,倒地,1~3秒倒地，其中倒地到起身的过程占用1.5s，由程序控制，注意配合hitperformance id=13做表现,0,0,0,1,0,0,30,0,0,0,0,1,1400,0,0,1,0,0,4,8000,60,500,2,0,1,0,0,1,0,0,0,0,,0,0,0,3|14,0,0,at_sure_state_knockdown,1400,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Buff,Buff_Jidao,[d73e1a]处于倒地状态[-],1,0,1,0,0
23,6,倒地,1~3秒倒地，其中倒地到起身的过程占用1.5s，由程序控制，注意配合hitperformance id=13做表现,0,0,0,1,0,0,30,0,0,0,0,1,1500,0,0,1,0,0,4,8000,60,500,2,0,1,0,0,1,0,0,0,0,,0,0,0,3|14,0,0,at_sure_state_knockdown,1500,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Buff,Buff_Jidao,[d73e1a]处于倒地状态[-],1,0,1,0,0
23,7,倒地,1~3秒倒地，其中倒地到起身的过程占用1.5s，由程序控制，注意配合hitperformance id=13做表现,0,0,0,1,0,0,30,0,0,0,0,1,1600,0,0,1,0,0,4,8000,60,500,2,0,1,0,0,1,0,0,0,0,,0,0,0,3|14,0,0,at_sure_state_knockdown,1600,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Buff,Buff_Jidao,[d73e1a]处于倒地状态[-],1,0,1,0,0
23,8,倒地,1~3秒倒地，其中倒地到起身的过程占用1.5s，由程序控制，注意配合hitperformance id=13做表现,0,0,0,1,0,0,30,0,0,0,0,1,1700,0,0,1,0,0,4,8000,60,500,2,0,1,0,0,1,0,0,0,0,,0,0,0,3|14,0,0,at_sure_state_knockdown,1700,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Buff,Buff_Jidao,[d73e1a]处于倒地状态[-],1,0,1,0,0
23,9,倒地,1~3秒倒地，其中倒地到起身的过程占用1.5s，由程序控制，注意配合hitperformance id=13做表现,0,0,0,1,0,0,30,0,0,0,0,1,1800,0,0,1,0,0,4,8000,60,500,2,0,1,0,0,1,0,0,0,0,,0,0,0,3|14,0,0,at_sure_state_knockdown,1800,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Buff,Buff_Jidao,[d73e1a]处于倒地状态[-],1,0,1,0,0
23,10,倒地,1~3秒倒地，其中倒地到起身的过程占用1.5s，由程序控制，注意配合hitperformance id=13做表现,0,0,0,1,0,0,30,0,0,0,0,1,1900,0,0,1,0,0,4,8000,60,500,2,0,1,0,0,1,0,0,0,0,,0,0,0,3|14,0,0,at_sure_state_knockdown,1900,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Buff,Buff_Jidao,[d73e1a]处于倒地状态[-],1,0,1,0,0
23,11,倒地,1~3秒倒地，其中倒地到起身的过程占用1.5s，由程序控制，注意配合hitperformance id=13做表现,0,0,0,1,0,0,30,0,0,0,0,1,2000,0,0,1,0,0,4,8000,60,500,2,0,1,0,0,1,0,0,0,0,,0,0,0,3|14,0,0,at_sure_state_knockdown,2000,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Buff,Buff_Jidao,[d73e1a]处于倒地状态[-],1,0,1,0,0
23,12,倒地,1~3秒倒地，其中倒地到起身的过程占用1.5s，由程序控制，注意配合hitperformance id=13做表现,0,0,0,1,0,0,30,0,0,0,0,1,2100,0,0,1,0,0,4,8000,60,500,2,0,1,0,0,1,0,0,0,0,,0,0,0,3|14,0,0,at_sure_state_knockdown,2100,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Buff,Buff_Jidao,[d73e1a]处于倒地状态[-],1,0,1,0,0
23,13,倒地,1~3秒倒地，其中倒地到起身的过程占用1.5s，由程序控制，注意配合hitperformance id=13做表现,0,0,0,1,0,0,30,0,0,0,0,1,2200,0,0,1,0,0,4,8000,60,500,2,0,1,0,0,1,0,0,0,0,,0,0,0,3|14,0,0,at_sure_state_knockdown,2200,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Buff,Buff_Jidao,[d73e1a]处于倒地状态[-],1,0,1,0,0
23,14,倒地,1~3秒倒地，其中倒地到起身的过程占用1.5s，由程序控制，注意配合hitperformance id=13做表现,0,0,0,1,0,0,30,0,0,0,0,1,2300,0,0,1,0,0,4,8000,60,500,2,0,1,0,0,1,0,0,0,0,,0,0,0,3|14,0,0,at_sure_state_knockdown,2300,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Buff,Buff_Jidao,[d73e1a]处于倒地状态[-],1,0,1,0,0
